Experiment,Strategy,Avg Cost,Avg Delay (s),Avg Energy (J),Avg Completion
Bandwidth Sweep,LocalOnly,24.52,0.4445,1203.2,0.881
Bandwidth Sweep,RSUOnly,25.00,0.3599,2577.4,0.821
Bandwidth Sweep,UAVOnly,25.00,0.2762,2941.2,0.739
Bandwidth Sweep,Random,25.00,0.2619,3672.5,0.689
Bandwidth Sweep,RoundRobin,25.00,0.2736,4774.7,0.667
Bandwidth Sweep,NearestNode,25.00,0.2658,5538.7,0.659
Bandwidth Sweep,LoadBalance,25.00,0.2733,6942.7,0.674
Bandwidth Sweep,MinDelay,25.00,0.3019,9328.5,0.702
Cpu Frequency Sweep,LocalOnly,24.51,0.4443,1196.5,0.879
Cpu Frequency Sweep,RSUOnly,25.00,0.3604,2571.2,0.818
Cpu Frequency Sweep,UAVOnly,25.00,0.2765,2936.7,0.737
Cpu Frequency Sweep,Random,25.00,0.2621,3667.1,0.688
Cpu Frequency Sweep,RoundRobin,25.00,0.2737,4766.6,0.666
Cpu Frequency Sweep,NearestNode,25.00,0.2660,5531.3,0.657
Cpu Frequency Sweep,LoadBalance,25.00,0.2736,6940.3,0.673
Cpu Frequency Sweep,MinDelay,25.00,0.3022,9325.9,0.701
Data Size Sweep,LocalOnly,24.50,0.4437,1199.0,0.879
Data Size Sweep,RSUOnly,25.00,0.3597,2567.7,0.819
Data Size Sweep,UAVOnly,25.00,0.2757,2930.8,0.737
Data Size Sweep,Random,25.00,0.2614,3661.0,0.688
Data Size Sweep,RoundRobin,25.00,0.2732,4764.0,0.667
Data Size Sweep,NearestNode,25.00,0.2654,5529.8,0.658
Data Size Sweep,LoadBalance,25.00,0.2730,6941.2,0.674
Data Size Sweep,MinDelay,25.00,0.3017,9329.3,0.701
Vehicle Sweep,LocalOnly,24.58,0.4452,1597.1,0.874
Vehicle Sweep,RSUOnly,25.00,0.3593,3427.8,0.815
Vehicle Sweep,UAVOnly,25.00,0.2721,3913.0,0.741
Vehicle Sweep,Random,25.00,0.2557,4889.7,0.699
Vehicle Sweep,RoundRobin,25.00,0.2663,6365.0,0.679
Vehicle Sweep,NearestNode,25.00,0.2584,7388.4,0.671
Vehicle Sweep,LoadBalance,25.00,0.2666,9271.6,0.685
Vehicle Sweep,MinDelay,25.00,0.2961,12463.8,0.710
Task Rate Sweep,LocalOnly,23.96,0.4760,584.2,0.886
Task Rate Sweep,RSUOnly,25.00,0.3853,1246.2,0.844
Task Rate Sweep,UAVOnly,25.00,0.3081,1413.2,0.740
Task Rate Sweep,Random,25.00,0.2992,1750.7,0.671
Task Rate Sweep,RoundRobin,25.00,0.3074,2263.3,0.657
Task Rate Sweep,NearestNode,25.00,0.2973,2617.7,0.654
Task Rate Sweep,LoadBalance,25.00,0.3045,3297.6,0.672
Task Rate Sweep,MinDelay,25.00,0.3335,4455.7,0.700
