strategy,vehicles,avg_delay,avg_energy_j,avg_energy_kj,avg_completion,avg_weighted_cost
LoadBalance,8,0.28426589341674086,4656.821000061518,4.656821000061518,0.6636518643862456,6.156716986907303
LocalOnly,8,0.44184190082349317,806.5138316933684,0.8065138316933684,0.8837672043050513,1.8515003996790285
MinDelay,8,0.31148223856471136,6267.599330565794,6.267599330565794,0.6932071034051918,8.144083673808375
NearestNode,8,0.2774373182199027,3710.3720493088695,3.7103720493088694,0.646568882676297,5.007321095610449
RSUOnly,8,0.3596290856862468,1725.8027761599562,1.7258027761599561,0.8287386861522913,2.7902215027644406
Random,8,0.2731146149856872,2459.1389174699393,2.4591389174699394,0.67515063954507,3.4971959309353013
RoundRobin,8,0.2846707687089489,3197.09694580526,3.19709694580526,0.6556865073969979,4.40585787238421
TD3,8,0.11721597787905337,128.38172049525224,0.12838172049525223,0.9742188337924772,0.3884900203524094
UAVOnly,8,0.28334124061343174,1971.3164969963366,1.9713164969963366,0.7355257158218241,2.9322622776224674
LoadBalance,12,0.2734689887350723,6951.2149379643515,6.951214937964352,0.6735816215058043,8.888395903027366
LocalOnly,12,0.4438293558361365,1195.650635044115,1.195650635044115,0.878350959571214,2.3224394737252108
MinDelay,12,0.30203796550361395,9337.371003649097,9.337371003649098,0.7011202087080018,11.808921135386147
NearestNode,12,0.2659025179708967,5538.16910550856,5.53816910550856,0.657312057558056,7.177607962552065
RSUOnly,12,0.35960571214051595,2565.4041037811394,2.5654041037811393,0.817932342429695,3.7976963488183992
Random,12,0.26127726901424203,3658.10472589485,3.6581047258948503,0.6871972257763351,4.912280209102304
RoundRobin,12,0.2734220324089711,4764.109371526975,4.764109371526976,0.665632687032027,6.263775310650313
TD3,12,0.1321509656032152,233.4577375126045,0.23345773751260449,0.9762603033514821,0.5444512162215558
UAVOnly,12,0.2756176915632368,2929.1605206572976,2.9291605206572977,0.7357092083654748,4.066228007915231
LoadBalance,16,0.26489062537141145,9281.357647326467,9.281357647326468,0.6860227758654175,11.667410427534584
LocalOnly,16,0.44603057533258644,1602.2627647895283,1.6022627647895282,0.8714877534326183,2.8147764684126066
MinDelay,16,0.2947194639641099,12474.872570620555,12.474872570620555,0.7111571476413411,15.559286012672883
NearestNode,16,0.2565797713111383,7398.3015051248,7.398301505124801,0.6717562318288185,9.391121348772037
RSUOnly,16,0.3606325616269969,3442.208298216546,3.442208298216546,0.8115013811731377,4.851915081113849
Random,16,0.25393214413021287,4903.176913116395,4.903176913116394,0.7007414244173434,6.391676584000098
RoundRobin,16,0.2646754555347736,6374.738095933815,6.374738095933815,0.6799378296805262,8.179036626190126
TD3,16,0.1095970506613002,353.272378993454,0.35327237899345404,0.9755956319575455,0.6431209561147452
UAVOnly,16,0.27144715866979585,3928.3615318526204,3.9283615318526204,0.7404729792671559,5.256928155562735
LoadBalance,20,0.2581829429448304,11581.377714274799,11.5813777142748,0.6955358808055365,14.41401914301942
LocalOnly,20,0.447205459301822,1990.9923032839015,1.9909923032839014,0.8679534598785011,3.2836016825443255
MinDelay,20,0.28875701609236787,15565.651584498462,15.565651584498463,0.7187986677313922,19.25629593358289
NearestNode,20,0.24908604012274405,9226.303199166117,9.226303199166118,0.6829870307675852,11.56973591924483
RSUOnly,20,0.3590176034851369,4275.867637578119,4.275867637578119,0.8079777376642948,5.849076372064017
Random,20,0.24727248970074892,6104.3113400001175,6.104311340000118,0.7105271623236277,7.819718587401639
RoundRobin,20,0.25717295760990133,7950.204560318322,7.950204560318323,0.6918912189289503,10.05459138760179
TD3,20,0.12371508160766727,430.47034569213747,0.4304703456921375,0.9635731050856353,0.7639945780458994
UAVOnly,20,0.2666864256363898,4879.916316667809,4.879916316667809,0.7436501543175886,6.38927243127415
LoadBalance,24,0.2523624145502182,13887.440823608691,13.88744082360869,0.706587902150725,17.169653817430863
LocalOnly,24,0.4469853957010211,2389.94539156679,2.38994539156679,0.8679340707861161,3.76190526128219
MinDelay,24,0.28353324011155173,18673.74536140432,18.67374536140432,0.7278723190919931,22.975560913908286
NearestNode,24,0.2430016995685122,11068.784438863748,11.068784438863748,0.6953818043227779,13.768544725773522
RSUOnly,24,0.35737851612678423,5129.886258602307,5.129886258602307,0.8080060306058698,6.8706205425763365
Random,24,0.24288300648608452,7323.590567745636,7.323590567745636,0.7192645786173903,9.27407469426693
RoundRobin,24,0.25151509339455913,9538.767529274366,9.538767529274367,0.7032220590207088,11.949551221918357
TD3,24,0.13023674025679657,629.9995337388292,0.6299995337388292,0.9667559506621177,1.0164729210001882
UAVOnly,24,0.26361981399013973,5856.437923445233,5.856437923445233,0.7478733522126959,7.554965136114558
